  time     K
      20.754         0.000
      20.805         0.000
      20.855         0.000
      20.905         0.000
      20.955         0.000
      21.005         0.000
      21.055         0.000
      21.106         0.000
      21.156         0.000
      21.207         0.000
      21.258         0.000
      21.308         0.000
      21.359         0.000
      21.409         0.000
      21.460         0.000
      21.510         0.000
      21.561         0.000
      21.611         0.000
      21.661         0.000
      21.712         0.000
      21.763         0.000
      21.814         0.000
      21.865         0.000
      21.916         0.000
      21.966         0.000
      22.016         0.000
      22.067         0.000
      22.117         0.000
      22.168         0.000
      22.219         0.000
      22.268         0.000
      22.319         0.000
      22.369         0.000
      22.421         0.000
      22.471         0.000
      22.521         0.000
      22.571         0.000
      22.622         0.000
      22.672         0.000
      22.722         0.000
      22.772         0.000
      22.823         0.000
      22.874         0.000
      22.924         0.000
      22.975         0.000
      23.025         0.000
      23.076         0.000
      23.125         0.000
      23.176         0.000
      23.227         0.000
      23.277         0.000
      23.327         0.000
      23.378         0.000
      23.428         0.000
      23.478         0.000
      23.528         0.000
      23.578         0.000
      23.629         0.000
      23.680         0.000
      23.731         0.000
      23.782         0.000
      23.833         0.000
      23.882         0.000
      23.932         0.000
      23.983         0.000
      24.034         0.000
      24.084         0.000
      24.135         0.000
      24.184         0.000
      24.234         0.000
      24.285         0.000
      24.336         0.000
      24.386         0.000
      24.436         0.000
      24.487         0.000
      24.537         0.000
      24.587         0.000
      24.642         0.000
      24.692         0.000
      24.742         0.000
      24.793         0.000
      24.843         0.000
      24.893         0.000
      24.944         0.000
      24.994         0.000
      25.044         0.000
      25.094         0.000
      25.144         0.000
      25.195         0.000
      25.245         0.000
      25.296         0.000
      25.347         0.000
      25.397         0.000
      25.448         0.000
      25.499         0.000
      25.549         0.000
      25.599         0.000
      25.649         0.000
      25.699         0.000
      25.750         0.000
      25.801         0.000
      25.851         0.000
      25.901         0.000
      25.951         0.000
      26.001         0.000
      26.052         0.000
      26.101         0.000
      26.151         0.000
      26.201         0.000
      26.252         0.000
      26.302         0.000
      26.351         0.000
      26.403         0.000
      26.454         0.000
      26.505         0.000
      26.555         0.000
      26.605         0.000
      26.655         0.000
      26.705         0.000
      26.755         0.000
      26.805         0.000
      26.855         0.000
      26.905         0.000
      26.956         0.000
      27.005         0.000
      27.056         0.000
      27.106         0.000
      27.156         0.000
      27.207         0.000
      27.258         0.000
      27.309         0.000
      27.360         0.000
      27.411         0.000
      27.468         0.000
      27.519         0.000
      27.570         0.000
      27.621         0.000
      27.672         0.000
      27.723         0.000
      27.773         0.000
      27.824         0.000
      27.876         0.000
      27.926         0.000
      27.976         0.000
      28.027         0.000
      28.078         0.000
      28.128         0.000
      28.179         0.000
      28.229         0.000
      28.279         0.000
      28.330         0.000
      28.379         0.000
      28.429         0.000
      28.480         0.000
      28.530         0.000
      28.583         0.000
      28.633         0.000
      28.684         0.000
      28.734         0.000
      28.784         0.000
      28.835         0.000
      28.886         0.000
      28.938         0.000
      28.988         0.000
      29.038         0.000
      29.088         0.000
      29.138         0.000
      29.189         0.000
      29.240         0.000
      29.289         0.000
      29.339         0.000
      29.390         0.000
      29.441         0.000
      29.491         0.000
      29.541         0.000
      29.592         0.000
      29.642         0.000
      29.693         0.000
      29.743         0.000
      29.794         0.000
      29.844         0.000
      29.895         0.000
      29.946         0.000
      29.996         0.000
      30.047         0.000
      30.097         0.000
      30.148         0.000
      30.199         0.000
      30.249         0.000
      30.300         0.000
      30.349         0.000
      30.400         0.000
      30.450         0.000
      30.500         0.000
      30.550         0.000
      30.601         0.000
      30.652         0.000
      30.702         0.000
      30.765         0.000
      30.816         0.000
      30.865         0.000
      30.915         0.000
      30.966         0.000
      31.018         0.000
      31.069         0.000
      31.119         0.000
      31.170         0.000
      31.221         0.000
      31.271         0.000
      31.322         0.000
      31.373         0.000
      31.423         0.000
      31.473         0.000
      31.556         0.000
      31.607         0.000
      31.658         0.000
      31.709         0.000
      31.759         0.000
      31.809         0.000
      31.860         0.000
      31.910         0.000
      31.961         0.000
      32.011         0.000
      32.061         0.000
      32.111         0.000
      32.162         0.000
      32.217         0.000
      32.268         0.000
      32.318         0.000
      32.369         0.000
      32.420         0.000
      32.471         0.000
      32.521         0.000
      32.571         0.000
      32.621         0.000
      32.672         0.000
      32.723         0.000
      32.773         0.000
      32.823         0.000
      32.873         0.000
      32.923         0.000
      32.973         0.000
      33.023         0.000
      33.072         0.000
      33.123         0.000
      33.173         0.000
      33.224         0.000
      33.273         0.000
      33.323         0.000
      33.373         0.000
      33.424         0.000
      33.475         0.000
      33.525         0.000
      33.576         0.000
      33.626         0.000
      33.678         0.000
      33.729         0.000
      33.779         0.000
      33.829         0.000
      33.880         0.000
      33.930         0.000
      33.982         0.000
      34.033         0.000
      34.083         0.000
      34.134         0.000
      34.185         0.000
      34.236         0.000
      34.287         0.000
      34.338         0.000
      34.387         0.000
      34.438         0.000
      34.488         0.000
      34.662         0.000
      34.723         0.000
      34.773         0.000
      34.824         0.000
      34.874         0.000
      34.924         0.000
      34.974         0.000
      35.024         0.000
      35.074         0.000
      35.124         0.000
      35.175         0.000
      35.224         0.000
      35.276         0.000
      35.326         0.000
      35.377         0.000
      35.427         0.000
      35.478         0.000
      35.529         0.000
      35.579         0.000
      35.629         0.000
      35.679         0.000
      35.729         0.000
      35.780         0.000
      35.830         0.000
      35.881         0.000
      35.931         0.000
      35.981         0.000
      36.032         0.000
      36.083         0.000
      36.134         0.000
      36.185         0.000
      36.236         0.000
      36.287         0.000
      36.336         0.000
      36.387         0.000
      36.437         0.000
      36.487         0.000
      36.538         0.000
      36.588         0.000
      36.639         0.000
      36.689         0.000
      36.739         0.000
      36.789         0.000
      36.840         0.000
      36.980         0.000
      37.031         0.000
      37.082         0.000
      37.133         0.000
      37.184         0.000
      37.235         0.000
      37.286         0.000
      37.286         0.000
