  time     K
       6.924         0.000
       6.975         0.000
       7.025         0.000
       7.075         0.000
       7.126         0.000
       7.177         0.000
       7.228         0.000
       7.278         0.000
       7.329         0.000
       7.379         0.000
       7.430         0.000
       7.480         0.000
       7.530         0.000
       7.581         0.000
       7.631         0.000
       7.681         0.000
       7.731         0.000
       7.782         0.000
       7.833         0.000
       7.884         0.000
       7.935         0.000
       7.985         0.000
       8.036         0.000
       8.085         0.000
       8.135         0.000
       8.185         0.000
       8.236         0.000
       8.287         0.000
       8.338         0.000
       8.389         0.000
       8.439         0.000
       8.489         0.000
       8.539         0.000
       8.589         0.000
       8.640         0.000
       8.691         0.000
       8.743         0.000
       8.794         0.000
       8.844         0.000
       8.895         0.000
       8.945         0.000
       8.996         0.000
       9.047         0.000
       9.097         0.000
       9.148         0.000
       9.198         0.000
       9.249         0.000
       9.300         0.000
       9.351         0.000
       9.402         0.000
       9.452         0.000
       9.502         0.000
       9.554         0.000
       9.604         0.000
       9.655         0.000
       9.704         0.000
       9.755         0.000
       9.806         0.000
       9.961         0.000
      10.011         0.000
      10.062         0.000
      10.112         0.000
      10.162         0.000
      10.212         0.000
      10.263         0.000
      10.314         0.000
      10.364         0.000
      10.413         0.000
      10.464         0.000
      10.514         0.000
      10.564         0.000
      10.614         0.000
      10.664         0.000
      10.714         0.000
      10.764         0.000
      10.815         0.000
      10.866         0.000
      10.917         0.000
      10.967         0.000
      11.022         0.000
      11.071         0.000
      11.121         0.000
      11.172         0.000
      11.222         0.000
      11.272         0.000
      11.323         0.000
      11.374         0.000
      11.425         0.000
      11.475         0.000
      11.526         0.000
      11.577         0.000
      11.627         0.000
      11.677         0.000
      11.728         0.000
      11.779         0.000
      11.830         0.000
      11.881         0.000
      11.932         0.000
      11.982         0.000
      12.033         0.000
      12.084         0.000
      12.134         0.000
      12.184         0.000
      12.235         0.000
      12.286         0.000
      12.337         0.000
      12.388         0.000
      12.439         0.000
      12.489         0.000
      12.539         0.000
      12.590         0.000
      12.640         0.000
      12.691         0.000
      12.742         0.000
      12.792         0.000
      12.843         0.000
      12.893         0.000
      12.943         0.000
      12.993         0.000
      13.044         0.000
      13.095         0.000
      13.146         0.000
      13.196         0.000
      13.246         0.000
      13.297         0.000
      13.348         0.000
      13.398         0.000
      13.449         0.000
      13.500         0.000
      13.550         0.000
      13.601         0.000
      13.652         0.000
      13.703         0.000
      13.753         0.000
      13.802         0.000
      13.852         0.000
      13.903         0.000
      13.953         0.000
      14.004         0.000
      14.055         0.000
      14.105         0.000
      14.156         0.000
      14.206         0.000
      14.257         0.000
      14.307         0.000
      14.358         0.000
      14.408         0.000
      14.460         0.000
      14.510         0.000
      14.561         0.000
      14.611         0.000
      14.661         0.000
      14.711         0.000
      14.761         0.000
      14.811         0.000
      14.861         0.000
      14.912         0.000
      14.962         0.000
      15.013         0.000
      15.078         0.000
      15.129         0.000
      15.180         0.000
      15.231         0.000
      15.281         0.000
      15.331         0.000
      15.381         0.000
      15.432         0.000
      15.482         0.000
      15.532         0.000
      15.582         0.000
      15.633         0.000
      15.683         0.000
      15.734         0.000
      15.785         0.000
      15.835         0.000
      15.885         0.000
      15.935         0.000
      15.985         0.000
      16.036         0.000
      16.086         0.000
      16.135         0.000
      16.252         0.000
      16.302         0.000
      16.353         0.000
      16.403         0.000
      16.454         0.000
      16.505         0.000
      16.555         0.000
      16.606         0.000
      16.657         0.000
      16.709         0.000
      16.761         0.000
      16.812         0.000
      16.863         0.000
      16.914         0.000
      16.964         0.000
      17.016         0.000
      17.066         0.000
      17.116         0.000
      17.167         0.000
      17.218         0.000
      17.268         0.000
      17.318         0.000
      17.368         0.000
      17.419         0.000
      17.470         0.000
      17.521         0.000
      17.573         0.000
      17.645         0.000
      17.696         0.000
      17.746         0.000
      17.796         0.000
      17.846         0.000
      17.897         0.000
      17.947         0.000
      17.997         0.000
      18.048         0.000
      18.099         0.000
      18.150         0.000
      18.150         0.000
