  time        Trial                     Stage       BCI_on      IDLE_on        tgt_x        tgt_y        tgt_z          Hit       EYE_on
 5.375            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 5.434            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 5.494            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 5.554            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 5.615            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 5.667            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 5.726            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 5.786            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 5.848            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 5.909            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 5.967            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 6.027            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 6.079            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 6.128            0                      none            0            0          NaN          NaN          NaN          NaN          NaN
 6.180            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 6.238            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 6.289            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 6.341            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 6.401            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 6.461            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 6.522            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 6.583            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 6.644            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 6.705            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 6.766            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 6.823            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 6.885            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 6.950            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.007            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.068            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.133            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
 7.191            0                         1            0            0          NaN          NaN          NaN          NaN          NaN
